,Unnamed: 0,video_like,video_forward,video_comment,goods_name,goods_whole_sale,bgm,language,genre,public_time,emotion,filename
558,558,8.8w,1730,2316,稚优泉哑光复古正红口红小众品牌持久保湿滋润唇膏,,Right Now(Na Na Na),,,,mad,Akon - Right Now (Na Na Na)
559,559,3.1w,484,3100,稚优泉无惧幻想唇釉,,Nobody,韩语,Dance,2008-09-22,mad,Nobody (korean Ver.)
560,560,52.4w,6503,18453,稚优泉无惧幻想唇釉,,썸 탈꺼야 (Some),,,,mad,Someday
561,561,60.8w,3150,16542,稚优泉无惧幻想唇釉,,Red Light,韩语,Pop,2014-07-07,mad,Duke Dumont - Red Light Green Light(feat. Shaun Ross)
562,562,33.6w,3760,12873,稚优泉无惧幻想唇釉,,慢慢等 (原唱: 韦礼安),国语,Pop,2009-03-13,peaceful,wonderful u（抖音片段） (原唱_ AGA)
563,563,51.1w,8259,1876,稚优泉无惧幻想唇釉,,난 바빠 (我很忙),韩语,Pop,2010-09-09,mad,2NE1 - 난 바빠
564,564,93.0w,1444,12000,TIMAGE彩棠唐毅亲研大师高光修容三色一体盘哑光闪粉鼻影阴影,,Situation,英语,,2020-04-24,happy,3Film Festival ～Consultation～ (口白)
565,565,38.5w,31000,13000,TIMAGE彩棠唐毅亲研大师高光修容三色一体盘哑光闪粉鼻影阴影,,We Will Rock You,英语,Rock,2020-07-20,happy,We Will Rock You (Live)
566,566,9.7w,1972,3045,TIMAGE彩棠唐毅亲研大师高光修容三色一体盘哑光闪粉鼻影阴影,,"24 Caprices, Op.1: No. 2 in B Minor",,,,happy,"Itzhak Perlman - 24 Caprices, Op.1_ No. 2 in B Minor"
567,567,17.4w,999,1654,TIMAGE彩棠唐毅亲研大师高光修容三色一体盘哑光闪粉鼻影阴影,,sans.,纯音乐,Soundtrack,2015-09-15,peaceful,sans.
568,568,26.3w,3549,7196,TIMAGE彩棠唐毅亲研大师高光修容三色一体盘哑光闪粉鼻影阴影,,【已买断】騎虎難下,,,,happy,我已经爱上你 (正式版)
569,569,46.3w,513,5126,稚优泉小奶泡氨基酸洗面奶洁面乳深层清洁毛孔控油高保湿学生男女,,Micmacs A La Gare,纯音乐,Soundtrack,2009-10-19,sad,Micmacs à la gare
570,570,40.1w,1678,9838,稚优泉小奶泡氨基酸洗面奶洁面乳深层清洁毛孔控油高保湿学生男女,,普通女孩,国语,,2019-12-01,sad,普通女孩
571,571,39.2w,1179,5957,稚优泉小奶泡氨基酸洗面奶洁面乳深层清洁毛孔控油高保湿学生男女,,Windy Old Weather,英语,Soundtrack,2014-11-11,mad,Windy Old Weather
