,bgm,bpm,genre,language,public_time,attitude,emotion,match,like_time,unlike_time
841,李荣浩 _ 余枫 - 如果这都不算爱 (Live),117.45383522727272,Pop,国语,2018-06-08,negative,sad,0,0,0
842,杨宗纬 - 凉凉,89.10290948275862,Soundtrack,国语,2017-02-18,negative,sad,0,0,0
843,林俊杰 - 修炼爱情,67.99958881578948,Pop,国语,2013-03-13,negative,sad,0,0,0
844,林俊杰 - 那些你很冒险的梦,135.99917763157896,Pop,国语,2018-12-31,negative,sad,0,0,0
845,林宥嘉 - 说谎,129.19921875,Pop,国语,2009-10-30,negative,sad,0,0,0
846,枯木逢春 - 这一生关于你的风景,99.38401442307692,country,国语,2019-03-30,negative,sad,0,0,0
847,梁博 - 出现又离开,117.45383522727272,Pop,国语,2019-04-19,negative,sad,0,0,0
848,梁博 - 男孩 (Live),143.5546875,Pop,国语,2017-03-25,negative,sad,0,0,0
849,棉子 - 别再对我好,103.359375,Pop,国语,2020-02-08,negative,sad,0,0,0
850,欧邦聪、画风风、小可 - you (bootleg混音版),129.19921875,hiphop,纯音乐,2020-02-06,negative,sad,0,0,0
851,毛不易 - 消愁,107.666015625,Pop,国语,2017-07-29,negative,sad,0,0,0
852,汪苏泷 - 不分手的恋爱,172.265625,Pop,国语,2011-09-09,negative,sad,0,0,0
853,沐泽 - 一吻天荒 (男生版片段),151.9990808823529,Pop,国语,2020-07-13,negative,sad,0,0,0
854,泽亦龙 - 孤幻 (Perfect Mix),129.19921875,hiphop,英语,2019-10-14,negative,sad,0,0,0
855,浪子兮 - 幻昼 (DJ版),123.046875,Pop,纯音乐,2020-04-21,positive,sad,0,0,0
856,海龟先生 - 男孩别哭,172.265625,Rock,国语,2012-12-31,positive,sad,0,0,0
857,渔圈、欧阳朵 - 失去才懂,99.38401442307692,Pop,国语,2016-12-09,positive,sad,0,0,0
858,灿烈 - Stay With Me,83.35433467741936,Soundtrack,韩语,2016-12-03,positive,sad,0,0,0
859,王天戈 - 心安理得,112.34714673913044,Pop,国语,2018-09-21,positive,sad,0,0,0
860,王小帅 - 不是因为寂寞才想你,75.99954044117645,Pop,国语,2019-09-15,positive,sad,0,0,0
861,王菲 - 匆匆那年,129.19921875,Pop,国语,2014-11-05,positive,sad,0,0,0
862,王贰浪 - 像鱼,69.83741554054055,Pop,国语,2018-12-11,positive,sad,0,0,0
863,王贰浪 - 虚拟 (DJ8先生版),129.19921875,Dance,国语,2020-04-01,positive,sad,0,0,0
864,王靖雯不胖 - 爱，存在,172.265625,Pop,国语,2020-06-19,positive,sad,0,0,0
865,白浩 - 迷人的危险 (DJ版),135.99917763157896,hiphop,纯音乐,2020-03-05,positive,sad,0,0,0
866,百变小彤 - 戒烟 (片段),73.828125,country,,,,sad,0,0,0
867,等什么君 - 关山酒,83.35433467741936,Pop,国语,2019-08-31,positive,sad,0,0,0
868,等什么君 - 归寻,143.5546875,Pop,国语,2019-05-31,positive,sad,0,0,0
869,简弘亦 - 你一定要幸福,143.5546875,Pop,国语,2016-11-08,positive,sad,0,0,0
870,米津玄師 (よねづ けんし) - Lemon,86.1328125,Pop,日语,2018-03-14,positive,sad,0,0,0
871,米津玄師 (よねづ けんし) - LOSER,123.046875,Pop,日语,2016-09-28,positive,sad,0,0,0
872,精彩丁先森、苏亦枫 - 春娇与志明 (咚鼓版),92.28515625,Pop,纯音乐,2020-03-24,positive,sad,0,0,0
873,精彩最初 - 我不配拥有爱,129.19921875,hiphop,国语,2019-11-01,positive,sad,0,0,0
874,纯音乐 - You (钢琴版),86.1328125,jazz,,,,sad,0,0,0
875,网络歌手 - 意外 (豪大大),123.046875,hiphop,,,,sad,0,0,0
876,网络歌手 - 那个石家庄人 (carmen卡门),78.30255681818181,Pop,国语,2016-08-17,positive,sad,0,0,0
877,羽生まゐご _ v flower _ 初音未来 (初音ミク) - ハレハレヤ (朗朗晴天),92.28515625,Pop,日语,2018-10-03,positive,sad,0,0,0
878,耀仔 - Take Me Hand (新版),129.19921875,metal,纯音乐,2019-12-19,positive,sad,0,0,0
879,耀仔 - 嗨 baby,129.19921875,pop,纯音乐,2020-02-13,positive,sad,0,0,0
